Type*,Brand*,Model Number,Model Name,Serial Number*,Specifications,CPU,RAM,Storage,Status,Purchase Date,Buy Price,Warranty Expiry Date,Life Span,Out of Box OS,Assigned Employee ID
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48PXH4,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48VJZZ,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48VKKX,,,,,In Use,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48VMF2,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48KGTL,,,,,In Use,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48KGSC,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48WRX4,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48VJYN,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48PJZF,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48VNKG,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48PGQK,,,,,In Use,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48VJW7,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48VNND,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48VKLR,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48PXDE,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48PZMY,,,,,In Use,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48WRTW,,,,,Available,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48WRWW,,,,,In Use,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48VJZJ,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48VKLF,,,,,In Use,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48VJX1,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48VJWY,,,,,In Use,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48PXDM,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48PPJ8,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48KK1Q,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48PRSY,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48KEHS,,,,,In Use,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48VNMA,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48VMEC,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48KEK3,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48PXE3,,,,,Available,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48KGT4,,,,,Stolen,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E300BFGR,ThinkPad E14 Gen 4,PF48VMFX,,,,,Sold,8/3/2023," EGP 36,500 ",,,,
Laptop,Lenovo,21E600AJGP,ThinkPad E15 Gen 4,PF44XN96,,,,,Sold,8/3/2023," EGP 36,000 ",,,,
Laptop,Lenovo,21E600AJGR,ThinkPad E15 Gen 4,PF496MZE,,,,,In Use,8/3/2023," EGP 36,000 ",,,,
Laptop,Lenovo,21E600AJGP,ThinkPad E15 Gen 4,PF3WX85T,,,,,Sold,8/3/2023," EGP 36,000 ",,,,
Laptop,Lenovo,21E6009CGR,ThinkPad E15 Gen 4,PF3WSZG2,,,,,Sold,8/3/2023," EGP 36,000 ",,,,
Storage,SanDisk,SDSSDE30-480G,Portable SSD,2226J7400355,,,,,Available,8/10/2023," EGP 2,400 ",,,,
Switch,Linksys,LLGS116,Business Desktop Gigabit Switch,13M20F15B00022,,,,,In Use,," EGP 2,508 ",,,,
Router,TP-Link,R480T+,LB Broadband Router,22170L9000241,,,,,In Use,," EGP 1,767 ",,,,
Access Point,TP-Link,AC1350EAP225,Omada EAP225,2220D4000465,,,,,In Use,," EGP 3,192 ",,,,
Access Point,TP-Link,AC1350EAP225,Omada EAP225,2220D4000468,,,,,In Use,," EGP 3,192 ",,,,
Access Point,TP-Link,AC1350EAP225,Omada EAP225,2220D4000600,,,,,In Use,," EGP 3,192 ",,,,
Access Point,TP-Link,AC1350EAP225,Omada EAP225,2220D4002189,,,,,In Use,," EGP 3,192 ",,,,
Router,TP-Link,ER605,Omada Gigabit VPN Router,221B5D0002420,,,,,In Use,," EGP 3,306 ",,,,
Switch,D-link,DGS-1008MP,Desktop Gigabit Max POE switch,QS7S317001762,,,,,In Use,," EGP 5,500 ",,,,
Presenter,2B,MO887,2.4GHz Wireless Laser Presenter,N88721040544,,,,,Lost,9/7/2023," EGP 1,026 ",,,,
Presenter,2B,MO887,2.4GHz Wireless Laser Presenter,N88722092763,,,,,Available,9/7/2023," EGP 1,026 ",,,,
Presenter,2B,MO887,2.4GHz Wireless Laser Presenter,N88722092766,,,,,Available,9/7/2023," EGP 1,026 ",,,,
Presenter,2B,MO887,2.4GHz Wireless Laser Presenter,N88722092767,,,,,Available,9/7/2023," EGP 1,026 ",,,,
Presenter,2B,MO887,2.4GHz Wireless Laser Presenter,N88722092770,,,,,Available,9/7/2023," EGP 1,026 ",,,,
Smartphone,Samsung,SM-A145F/DS,Galaxy A14,3.54324E+14,,,,,In Use,9/6/2023," EGP 5,400 ",,,,
Laptop,Apple,A2338,MacBook Pro 13-inch,FVFFGCGNQ05G,,,,,In Use,8/7/2023," EGP 31,000 ",,,,
Mouse,Logitech,910-005906,M190,2245LZ922DT9,,,,,In Use,9/20/2023, EGP 515 ,,,,
Mouse,Logitech,910-005906,M190,2245LZ922WQ9,,,,,Available,9/20/2023, EGP 515 ,,,,
Mouse,Logitech,910-005906,M190,2245LZ922ER9,,,,,Available,9/20/2023, EGP 515 ,,,,
Mouse,Logitech,910-005906,M190,2245LZ922DS9,,,,,Available,9/20/2023, EGP 515 ,,,,
Mouse,Logitech,910-005906,M190,2245LZ922GN9,,,,,In Use,9/20/2023, EGP 515 ,,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20536E+11,,,,,Available,10/4/2023, EGP 799 ,,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20536E+11,,,,,In Use,10/4/2023, EGP 799 ,,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20436E+11,,,,,Available,10/4/2023, EGP 799 ,,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20536E+11,,,,,In Use,10/4/2023, EGP 799 ,,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20536E+11,,,,,In Use,10/4/2023, EGP 799 ,,,,
Laptop,Apple,A2681,MacBook Air 13.6,H093CP4GVF,,,,,Sold,9/13/2023," EGP 77,500 ",,,,
Laptop,Apple,A2681,MacBook Air 13.6,PQ30YH0033,,,,,Sold,9/13/2023," EGP 77,500 ",,,,
CCTV,TP-Link,C320WS,Tapo C320WS,2.23733E+12,,,,,In Use,," EGP 2,532 ",,,,
CCTV,TP-Link,C320WS,Tapo C320WS,2.23733E+12,,,,,In Use,," EGP 2,532 ",,,,
CCTV,TP-Link,C320WS,Tapo C320WS,2.23733E+12,,,,,In Use,," EGP 2,532 ",,,,
CCTV,TP-Link,C320WS,Tapo C320WS,2.23733E+12,,,,,In Use,," EGP 2,532 ",,,,
Laptop,Dell,9300,XPS 13,HP9PL63,,,,,Sold,10/24/2022," EGP 30,000 ",,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20E+11,,,,,In Use,, EGP 799 ,,,,
Laptop,Lenovo,21E6009UGR,ThinkPad E15 Gen 4,PF3X0VCE,,,,,Sold,4/30/2023, EGP - ,,,,
Laptop,Dell,3510,Vostro 15 3510,BFSJXQ3,,,,,Sold,, EGP - ,,,,
Laptop,Dell,,Latitude 3340,GG1D12,,,,,Damaged,, EGP - ,,,,
Smartphone,Xiaomi,21121119SC,Redmi 10 2022,8.66127E+14,,,,,In Use,," EGP 5,500 ",,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20437E+11,,,,,In Use,1/1/2024, EGP 799 ,,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20437E+11,,,,,In Use,1/1/2024, EGP 799 ,,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20437E+11,,,,,In Use,1/1/2024, EGP 799 ,,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20437E+11,,,,,In Use,1/1/2024, EGP 799 ,,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20437E+11,,,,,In Use,1/1/2024, EGP 799 ,,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20437E+11,,,,,In Use,1/1/2024, EGP 799 ,,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20437E+11,,,,,Available,1/1/2024, EGP 799 ,,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20437E+11,,,,,In Use,1/1/2024, EGP 799 ,,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20437E+11,,,,,In Use,1/1/2024, EGP 799 ,,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20437E+11,,,,,Available,1/1/2024, EGP 799 ,,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20437E+11,,,,,Available,1/1/2024, EGP 799 ,,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20437E+11,,,,,Available,1/1/2024, EGP 799 ,,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20437E+11,,,,,In Use,1/1/2024, EGP 799 ,,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20437E+11,,,,,Available,1/1/2024, EGP 799 ,,,,
Mobile Wifi,ZTE,MF927U,Mobile WiFi,3.20437E+11,,,,,In Use,1/1/2024, EGP 799 ,,,,
Laptop,Apple,A2681,MacBook Air 13.6,DC7WVWTCJ3,,,,,Sold,9/13/2023," EGP 77,500 ",,,,
Laptop,Lenovo,21E300BYGR,ThinkPad E14 Gen 4,PF3WSGDL,,,,,Pending handover,8/3/2023," EGP 26,500 ",,,,
Laptop,HP,9JT16US#ABA,Zbook 15u G6,5CG022459L,,,,,Sold,2/27/2024," EGP 24,069 ",,,,
Laptop,HP,9JT16US#ABA,Zbook 15u G6,5CG016FYF3,,,,,Sold,2/27/2024," EGP 24,069 ",,,,
Laptop,HP,4CR20UC,Elitebook 840 G5,5CG8232M8Q,,,,,In Use,2/27/2024," EGP 16,385 ",,,,
Laptop,HP,4CR20UC,Elitebook 840 G5,5CG8292DBT,,,,,In Use,2/27/2024," EGP 16,385 ",,,,
Laptop,HP,4CR20UC,EliteBook 840 G5,5CG8232T3D,,,,,In Use,2/27/2024," EGP 16,385 ",,,,
Laptop,HP,4CR20UC,Elitebook 840 G5,5CG8323HR0,,,,,In Use,2/27/2024," EGP 16,385 ",,,,
Laptop,HP,4CR20UC,Elitebook 840 G5,5CG8232PNG,,,,,In Use,2/27/2024," EGP 16,385 ",,,,
